account,Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,All the ways Amazon's AI brought me the socks I am wearing right now | via @mattmcfarland https://t.co/91706JGMEU https://t.co/DykZ7An1Id,Fri Oct 05 17:40:10 +0000 2018,0.0,0.0,1.0,0.0,17
CNN,"A rock that was used as a doorstop for the past 30 years turned out to be a meteorite valued at $100,000… https://t.co/kLc0ftx375",Fri Oct 05 17:30:01 +0000 2018,0.4404,0.132,0.868,0.0,18
CNN,This Texan might be America’s first Filipina in Congress. Gina Ortiz Jones is an LGBTQ Iraq war vet who wants to pr… https://t.co/TwYtebfVoo,Fri Oct 05 17:17:00 +0000 2018,-0.5994,0.0,0.849,0.151,19
CNN,"The US unemployment rate fell to 3.7% in September, the lowest level since December 1969. https://t.co/BchOtic0Y1 https://t.co/KLhc75J5Y1",Fri Oct 05 17:08:50 +0000 2018,-0.6705,0.0,0.732,0.268,20
CNN,A Republican county chairman in North Carolina reportedly shared a photo that social media trolls have falsely clai… https://t.co/WaSiqlOrzo,Fri Oct 05 17:03:18 +0000 2018,0.34,0.13,0.87,0.0,21
CNN,Agender. Nonbinary. Genderqueer. Gender today goes far beyond boy and girl. @lisaling discovers what it means to be… https://t.co/hGKHcRhI1L,Fri Oct 05 17:01:15 +0000 2018,0.0,0.0,1.0,0.0,22
CNN,"A two-year-old boy shredded more than $1,000 his parents had saved to pay a debt https://t.co/mNZgfQ6xiu https://t.co/h9b3pTKKd4",Fri Oct 05 16:52:51 +0000 2018,-0.0258,0.15,0.642,0.209,23
CNN,"Sen. Jeff Flake says he will vote yes on Brett Kavanaugh's confirmation, unless something ""big"" were to happen… https://t.co/XdNjjL7QeL",Fri Oct 05 16:42:04 +0000 2018,0.4019,0.13,0.87,0.0,24
CNN,"Vitamin D supplements do not improve bone mineral density or prevent fractures or falls in adults, a large study fi… https://t.co/0pxnDk0Sdy",Fri Oct 05 16:40:08 +0000 2018,-0.0274,0.152,0.737,0.111,25
CNN,The 2018 Nobel Peace Prize has been awarded to Denis Mukwege and Nadia Murad for their efforts to end the use of se… https://t.co/XXGezyITJ7,Fri Oct 05 16:30:07 +0000 2018,0.8591,0.311,0.689,0.0,26
CNN,"CNN Business went inside Amazon HQ to see how Amazon uses AI to improve customer experiences, from cashier-less sto… https://t.co/Eh42KUWnf2",Fri Oct 05 16:20:00 +0000 2018,0.6486,0.27,0.73,0.0,27
CNN,"Sen. Lisa Murkowski explained her vote on Kavanaugh to reporters after leaving the floor, calling it “the most diff… https://t.co/qyyQtmOSj8",Fri Oct 05 16:17:21 +0000 2018,0.0,0.0,1.0,0.0,28
CNN,This woman is being hailed a hero after confronting another woman who was criticizing two friends for speaking Span… https://t.co/VPRqv3zsPm,Fri Oct 05 16:10:00 +0000 2018,0.6705,0.322,0.524,0.154,29
CNN,General Electric's new CEO could rake in $300 million -- if he can turn GE around https://t.co/NdjJSn9tqq https://t.co/rUYWcbLBLb,Fri Oct 05 16:00:07 +0000 2018,0.0,0.0,1.0,0.0,30
CNN,Here's a breakdown of how the Senate voted to advance Kavanaugh https://t.co/P6Cg1coOBY https://t.co/BgZNSORIIp,Fri Oct 05 15:50:06 +0000 2018,0.0,0.0,1.0,0.0,31
CNN,"At 106 (and 1/2), this doctor isn't slowing down https://t.co/U6DyYBgqqu https://t.co/5RDWpACY7f",Fri Oct 05 15:40:00 +0000 2018,0.0,0.0,1.0,0.0,32
CNN,From cornfield to c-suite: How @LandOLakesInc CEO @BethFordLOL became the first woman to run the company and made h… https://t.co/2o8Qv0C0Zf,Fri Oct 05 15:31:01 +0000 2018,0.0,0.0,1.0,0.0,33
CNN,An eight-year-old girl found a pre-Viking-era sword while she was playing in a lake in Sweden… https://t.co/xXroy7lbbE,Fri Oct 05 15:24:45 +0000 2018,0.2023,0.114,0.886,0.0,34
CNN,"President Trump, watching from the White House, tweets that he's ""very proud"" of the Senate's vote to move Brett Ka… https://t.co/KzG3reAJF9",Fri Oct 05 15:15:20 +0000 2018,0.5256,0.145,0.855,0.0,35
CNN,What you need to know before investing in cryptocurrency https://t.co/Sfp4yJ47Hq https://t.co/zyCrPYr8q9,Fri Oct 05 15:13:46 +0000 2018,0.0,0.0,1.0,0.0,36
CNN,BREAKING: The Senate votes 51-49 to move Brett Kavanaugh's Supreme Court nomination to a final vote that is expecte… https://t.co/E012WcM9tg,Fri Oct 05 14:56:48 +0000 2018,0.5574,0.167,0.833,0.0,37
CNN,"An eight-year-old girl has discovered a pre-Viking-era sword in a Swedish lake, prompting locals to name her the ""Q… https://t.co/1eWVySvr8T",Fri Oct 05 14:50:06 +0000 2018,0.0,0.0,1.0,0.0,38
CNN,A man's vision changed dramatically after he took a gulp of a drug he bought online that is commonly used to treat… https://t.co/2EeDeyYfM6,Fri Oct 05 14:46:25 +0000 2018,0.25,0.095,0.905,0.0,39
CNN,"Sen. Susan Collins on the Kavanaugh vote: “I will be voting ‘yes’ on proceeding to the final confirmation vote, and… https://t.co/0Lp5HsyMir",Fri Oct 05 14:28:37 +0000 2018,0.0,0.0,1.0,0.0,40
CNN,"Can Kavanaugh get to 50 'yes' votes? Sen. McConnell plans a key vote, but some senators haven't said whether they'l… https://t.co/stTqtTh12w",Fri Oct 05 14:21:59 +0000 2018,0.0,0.0,1.0,0.0,41
CNN,"Red tide just spread to Florida's Atlantic coast, choking some of the most popular beaches https://t.co/j79fylMPHN https://t.co/9d0h6aCz5W",Fri Oct 05 14:11:25 +0000 2018,0.024,0.147,0.711,0.142,42
CNN,A Utah man has admitted to sending letters that tested positive for ricin to President Trump and top government off… https://t.co/S49MDmY1NL,Fri Oct 05 14:01:50 +0000 2018,0.7003,0.286,0.714,0.0,43
CNN,A UK supermarket chain is offering to deliver groceries to your fridge while you're out https://t.co/5Y3WUS7pmM https://t.co/lzmrMc0lIi,Fri Oct 05 13:44:49 +0000 2018,0.0,0.0,1.0,0.0,44
CNN,Mattress Firm says it will quickly close 200 underperforming stores and make decisions about whether to close or ma… https://t.co/we54VbnYFg,Fri Oct 05 13:28:46 +0000 2018,0.0,0.0,1.0,0.0,45
CNN,Mattress Firm files for bankruptcy and will close 700 stores. https://t.co/sVlROm7Pi6 https://t.co/fi2P8YVbYb,Fri Oct 05 13:27:51 +0000 2018,0.0,0.0,1.0,0.0,46
CNN,"RT @cnni: BREAKING: The Chinese head of Interpol, the International Police Agency, has vanished. His wife told officials she hasn't seen hi…",Fri Oct 05 13:14:00 +0000 2018,0.0,0.0,1.0,0.0,47
CNN,A woman is being hailed a hero after confronting another woman who was criticizing two friends for speaking Spanish… https://t.co/j4ihg2g12k,Fri Oct 05 13:10:08 +0000 2018,0.6705,0.335,0.506,0.16,48
CNN,A criminal probe has begun after hundreds of tons of human body parts and medical waste were allowed to build up at… https://t.co/gEuoUZZ7Ok,Fri Oct 05 13:05:47 +0000 2018,-0.7351,0.0,0.763,0.237,49
CNN,"RT @CNNBusiness: JUST IN: The unemployment rate fell to 3.7% in September, the lowest level since 1969. The US economy added 134,000 jobs l…",Fri Oct 05 12:48:05 +0000 2018,-0.6705,0.0,0.8,0.2,50
CNN,Comedian Amy Schumer and model-actress Emily Ratajkowski were among more than 300 people arrested Thursday in prote… https://t.co/9YWB8VFqiz,Fri Oct 05 12:46:37 +0000 2018,-0.128,0.12,0.737,0.143,51
CNN,"""I actually got to eat my food while it was still hot!”: This incredibly kind Olive Garden waitress helped feed a f… https://t.co/nPbwyDIcAl",Fri Oct 05 12:30:05 +0000 2018,0.6105,0.159,0.841,0.0,52
CNN,The 2018 Nobel Peace Prize has been awarded to Denis Mukwege and Nadia Murad for their efforts to end the use of se… https://t.co/i6mLcecVZJ,Fri Oct 05 12:24:25 +0000 2018,0.8591,0.311,0.689,0.0,53
CNN,"Weeks of tumult and testimony, allegations and anger, pain and postponement over President Trump's Supreme Court no… https://t.co/ZbJ453pOiA",Fri Oct 05 12:05:53 +0000 2018,-0.5267,0.141,0.586,0.273,54
CNN,"A two-year-old boy shredded more than $1,000 his parents had saved to pay a debt https://t.co/5lJyfNaxun https://t.co/9ToBKnrJOI",Fri Oct 05 12:02:19 +0000 2018,-0.0258,0.15,0.642,0.209,55
CNN,"Vitamin D supplements do not improve bone mineral density or prevent fractures or falls in adults, a large study fi… https://t.co/ZB0m894LEx",Fri Oct 05 11:54:40 +0000 2018,-0.0274,0.152,0.737,0.111,56
CNN,A 23-year-old man has died after being bitten by a sea snake off the coast of Australia https://t.co/XTv2zkl8AW https://t.co/paAool51dK,Fri Oct 05 11:40:31 +0000 2018,-0.5574,0.0,0.816,0.184,57
CNN,"Nike has said it is ""deeply concerned"" by the rape allegation against Cristiano Ronaldo https://t.co/S8rZn7ZPiI https://t.co/NAjyzRrkUo",Fri Oct 05 11:25:10 +0000 2018,-0.6908,0.0,0.761,0.239,58
CNN,The Senate is set to take a procedural vote at 10:30 a.m. ET to end debate on the Brett Kavanaugh Supreme Court nom… https://t.co/CUzlbDgiKh,Fri Oct 05 11:14:21 +0000 2018,0.5574,0.141,0.859,0.0,59
CNN,Fried lungs and deep-fried fatted skin? Dig into some Indonesian cuisine on an all-new #PartsUnknown with #Bourdain… https://t.co/6R31RzGBsV,Fri Oct 05 11:00:40 +0000 2018,0.0,0.0,1.0,0.0,60
CNN,"5 things for Friday:

- Brett Kavanaugh
- Russian meddling
- Kidnapped schoolgirl
- Florida's red tide
- Nobel Peac… https://t.co/9wd921PwTO",Fri Oct 05 11:00:09 +0000 2018,0.0,0.0,1.0,0.0,61
CNN,"At 106 (and 1/2), this doctor isn't slowing down https://t.co/U6DyYBy1P4 https://t.co/Clth8glg4o",Fri Oct 05 10:53:02 +0000 2018,0.0,0.0,1.0,0.0,62
CNN,"As vote looms, Kavanaugh makes final argument | Analysis by @CillizzaCNN https://t.co/HaRp3x5Cln https://t.co/gNcgRyXTq6",Fri Oct 05 10:45:17 +0000 2018,-0.4767,0.0,0.709,0.291,63
CNN,The 2018 Nobel Peace Prize has been awarded to Denis Mukwege and Nadia Murad for their efforts to end the use of se… https://t.co/hAmnsB47QN,Fri Oct 05 10:29:46 +0000 2018,0.8591,0.311,0.689,0.0,64
CNN,"High-population cities have longer-lasting flu seasons, while lower-population cities have shorter but more intense… https://t.co/nq9VfTbnyT",Fri Oct 05 10:18:51 +0000 2018,-0.2023,0.0,0.886,0.114,65
CNN,"RT @cnni: Denis Mukwege also won this year's #NobelPeacePrize. He is a doctor and gynecologist, who has long worked to treat thousands of w…",Fri Oct 05 10:02:22 +0000 2018,0.7506,0.234,0.766,0.0,66
CNN,"RT @cnni: One of the 2018 #NobelPeacePrize winners is Nadia Murad. A Yazidi woman from the Iraqi town of Sinjar, who was held as a sex slav…",Fri Oct 05 09:54:12 +0000 2018,0.4767,0.114,0.886,0.0,67
CNN,The 2018 Nobel Peace Prize has been awarded to Denis Mukwege and Nadia Murad for their efforts to end the use of se… https://t.co/QmNTLfpF3W,Fri Oct 05 09:46:08 +0000 2018,0.8591,0.311,0.689,0.0,68
CNN,"Nike has said it is ""deeply concerned"" by the rape allegation against Cristiano Ronaldo https://t.co/35pvGcd8Ke https://t.co/WKv9UoNoLA",Fri Oct 05 09:25:03 +0000 2018,-0.6908,0.0,0.761,0.239,69
CNN,"JUST IN: The Nobel Peace Prize for 2018 has been won by Denis Mukwege and Nadia Murad, leading figures in the movem… https://t.co/NOsLqwYOGi",Fri Oct 05 09:10:28 +0000 2018,0.8885,0.344,0.656,0.0,70
CNN,"RT @cnni: BREAKING: The Nobel Peace Prize for 2018 has been won by Denis Mukwege and Nadia Murad, leading figures in the movement to end se…",Fri Oct 05 09:09:43 +0000 2018,0.8885,0.313,0.687,0.0,71
CNN,A criminal probe has begun after hundreds of tons of human body parts and medical waste were allowed to build up at… https://t.co/zMJR9wH0BM,Fri Oct 05 08:59:04 +0000 2018,-0.7351,0.0,0.763,0.237,72
CNN,A woman is being hailed a hero after confronting another woman who was criticizing two friends for speaking Spanish… https://t.co/7MrC4DbwWY,Fri Oct 05 08:41:04 +0000 2018,0.6705,0.335,0.506,0.16,73
CNN,The Pentagon is set to release a report on Friday accusing China of seeking to undermine the US military's industri… https://t.co/DLiI2VN34e,Fri Oct 05 08:34:03 +0000 2018,-0.4404,0.0,0.822,0.178,74
CNN,Samsung is powering toward record profits thanks in part to Apple's new iPhones https://t.co/goxND61Ds6,Fri Oct 05 08:24:01 +0000 2018,0.7003,0.326,0.674,0.0,75
CNN,Unilever has given up on a plan to move its headquarters out of the United Kingdom https://t.co/qkKcjQwoqI,Fri Oct 05 08:04:03 +0000 2018,0.4215,0.157,0.843,0.0,76
CNN,A man's vision changed dramatically after he took a gulp of a drug he bought online that is commonly used to treat… https://t.co/yxb9MOy66c,Fri Oct 05 08:01:02 +0000 2018,0.25,0.095,0.905,0.0,77
CNN,Christine Blasey Ford is on the cover of this week's Time magazine. But it's not a photograph of Ford; it's an illu… https://t.co/VlHTLYnvHP,Fri Oct 05 07:53:03 +0000 2018,0.0,0.0,1.0,0.0,78
CNN,Retired Supreme Court Justice John Paul Stevens said SCOTUS nominee Brett Kavanaugh does not belong on the nation's… https://t.co/yTEpyyv0gP,Fri Oct 05 07:46:00 +0000 2018,0.7906,0.292,0.708,0.0,79
CNN,"High-population cities have longer-lasting flu seasons, while lower-population cities have shorter but more intense… https://t.co/XZBeW3x54u",Fri Oct 05 07:31:06 +0000 2018,-0.2023,0.0,0.886,0.114,80
CNN,The Renault EZ-Ultimo is an autonomous concept car designed to shuttle occupants around in luxury.… https://t.co/hrkBnrt5eH,Fri Oct 05 07:16:00 +0000 2018,0.0,0.0,1.0,0.0,81
CNN,"Ireland passed a landmark bill aimed at reducing alcohol consumption on Wednesday, following more than 1,000 days o… https://t.co/87eUGeOEV5",Fri Oct 05 07:01:04 +0000 2018,0.0772,0.071,0.929,0.0,82
CNN,"Birds in Gilbert, Minnesota, are flying into windshields, bumping into trees and looking mighty disoriented. Police… https://t.co/T9TP6GkYYf",Fri Oct 05 06:46:07 +0000 2018,-0.3612,0.0,0.865,0.135,83
CNN,"Albert Einstein's famous ""God Letter"" is expected to fetch at least $1 million when it goes up for auction in Decem… https://t.co/itkkbeVvKG",Fri Oct 05 06:31:06 +0000 2018,0.2732,0.091,0.909,0.0,84
CNN,"The A45 tiny home, designed by world-renowned architect Bjarke Ingels, features high-end details on the smallest sc… https://t.co/ikWSXeiRnn",Fri Oct 05 06:16:00 +0000 2018,0.0,0.0,1.0,0.0,85
CNN,"A year after Cassini ended its 20-year mission to study Saturn, the last data the spacecraft recorded before plungi… https://t.co/LxbfqvsVOn",Fri Oct 05 06:01:02 +0000 2018,0.0,0.0,1.0,0.0,86
CNN,"West Virginia Democratic congressional candidate Richard Ojeda: ""I'm a real Democrat"" https://t.co/4Ens2wOnCo https://t.co/fuudwI3a9f",Fri Oct 05 05:46:00 +0000 2018,0.0,0.0,1.0,0.0,87
CNN,The commercial success of virtual reality may depend on being able to make real human connections on VR platforms.… https://t.co/vRLJf0ez38,Fri Oct 05 05:31:04 +0000 2018,0.5719,0.163,0.837,0.0,88
CNN,"Brett Kavanaugh, with the clock ticking down to the end of the most politicized Supreme Court confirmation battle i… https://t.co/rQAlTXv5cy",Fri Oct 05 05:28:04 +0000 2018,0.3134,0.158,0.735,0.106,89
CNN,"An eight-year-old girl has discovered a pre-Viking-era sword in a Swedish lake, prompting locals to name her the ""Q… https://t.co/DNMRo1fvHR",Fri Oct 05 05:16:54 +0000 2018,0.0,0.0,1.0,0.0,90
CNN,"""Jeopardy!"" host Alex Trebek issued an apology after he added his own jokes while moderating the Pennsylvania guber… https://t.co/238Z6MuroD",Fri Oct 05 05:16:00 +0000 2018,0.3595,0.17,0.83,0.0,91
CNN,"Amazon giveth and Amazon taketh away.

The company is raising its minimum wage to $15 an hour for all US employees.… https://t.co/pu69KpPDkT",Fri Oct 05 05:01:03 +0000 2018,0.34,0.145,0.855,0.0,92
CNN,Hershey has a super secret chocolate lab where all its products get dreamed up. Go inside: https://t.co/qarEkoqH7C https://t.co/08Krw7iC5V,Fri Oct 05 04:46:00 +0000 2018,0.5994,0.196,0.804,0.0,93
CNN,Comedian Amy Schumer and model-actress Emily Ratajkowski were among those arrested Thursday in protests over Suprem… https://t.co/83zy0tQowD,Fri Oct 05 04:36:01 +0000 2018,-0.34,0.12,0.648,0.231,94
CNN,Myth of bipartisanship takes another beating during the Kavanaugh probe drama | Analysis by CNN's Gregory Krieg… https://t.co/v2BwQfZhnq,Fri Oct 05 04:31:04 +0000 2018,-0.4588,0.0,0.842,0.158,95
CNN,"China accused US Vice President Mike Pence of slandering the country with ""baseless"" allegations, after he delivere… https://t.co/7vCZaLIVbs",Fri Oct 05 04:21:52 +0000 2018,-0.296,0.0,0.885,0.115,96
CNN,"NYC to Boston in 36 minutes? Transcend Air has plans for a jet-fast plane that takes off and lands vertically, allo… https://t.co/cDTW9GvrTf",Fri Oct 05 04:16:00 +0000 2018,0.0,0.0,1.0,0.0,97
CNN,Christine Blasey Ford is on the cover of this week's Time magazine. But it's not a photograph of Ford; it's an illu… https://t.co/nOOE96Ml8y,Fri Oct 05 04:01:06 +0000 2018,0.0,0.0,1.0,0.0,98
CNN,What Kavanaugh's confirmation would mean | Analysis by @CillizzaCNN https://t.co/aJGzMLud61 https://t.co/xLrpadrdMN,Fri Oct 05 03:46:02 +0000 2018,0.0,0.0,1.0,0.0,99
CNN,A horrific childhood in China inspired this woman's crusade against homelessness https://t.co/XJuruHVq6X https://t.co/fPylSlbL6I,Fri Oct 05 03:31:06 +0000 2018,-0.296,0.182,0.568,0.25,100
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""I've never considered the president's identity or party when evaluating… https://t.co/t8smrq4vFM",Fri Oct 05 19:31:04 +0000 2018,0.4019,0.162,0.838,0.0,1
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""Our Supreme Court confirmation process has been in steady decline for mo… https://t.co/o85eAsd0EJ",Fri Oct 05 19:27:40 +0000 2018,0.5574,0.184,0.816,0.0,2
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""Interest groups have also spent an unprecedented amount of dark money op… https://t.co/hy3ZG1cItf",Fri Oct 05 19:24:50 +0000 2018,0.4588,0.158,0.842,0.0,3
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""A number of senators joined the race to announce their opposition, but t… https://t.co/rnhvzzYih1",Fri Oct 05 19:22:15 +0000 2018,0.0387,0.063,0.937,0.0,4
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""The president nominated Brett Kavanaugh on July 9. Within moments of tha… https://t.co/ygwskK2PZA",Fri Oct 05 19:18:10 +0000 2018,0.0,0.0,1.0,0.0,5
FoxNews,".@SenatorCollins on Kavanaugh nomination: ""Today we have come to the conclusion of a confirmation process that has… https://t.co/6YGs1eOaVe",Fri Oct 05 19:15:06 +0000 2018,0.0,0.0,1.0,0.0,6
FoxNews,.@SenatorCollins announces decision on Judge Kavanaugh https://t.co/tO9cA1sX5Z,Fri Oct 05 19:07:37 +0000 2018,0.0,0.0,1.0,0.0,7
FoxNews,BREAKING: Chicago police officer found guilty of second-degree murder of black teenager Laquan McDonald https://t.co/1BPgtoXFvF,Fri Oct 05 18:59:12 +0000 2018,-0.8176,0.0,0.634,0.366,8
FoxNews,"Suspected Senate Doxxer had secret Twitter account repeatedly attacking GOP, Kavanaugh https://t.co/GTaMT8fIRl",Fri Oct 05 18:55:16 +0000 2018,-0.5994,0.0,0.671,0.329,9
FoxNews,".@donnabrazile: “Now that we’ve heard from Dr. Ford and many others, we’ve heard Mr. Kavanaugh’s response. I think… https://t.co/Om0XNy7Dkf",Fri Oct 05 18:47:08 +0000 2018,0.0,0.0,1.0,0.0,10
FoxNews,.@donnabrazile: “[Millennial women] want to be heard.” https://t.co/h7r3fZXg4Y,Fri Oct 05 18:40:41 +0000 2018,0.0772,0.157,0.843,0.0,11
FoxNews,‘Jersey Shore’ star Mike ‘The Situation’ Sorrentino sentenced to 8 months for tax evasion https://t.co/I7tEBC7Ced,Fri Oct 05 18:32:49 +0000 2018,-0.0258,0.0,0.922,0.078,12
FoxNews,"Senate votes 51 to 49, 3 of 4 key senators vote “yes” to advance Kavanaugh nomination https://t.co/RYjqte19Tw https://t.co/ms3obcgDOe",Fri Oct 05 18:27:16 +0000 2018,0.0,0.0,1.0,0.0,13
FoxNews,JUST IN: Verdict reached in case of Chicago police officer who fatally shot black teenager Laquan McDonald https://t.co/1BPgtoXFvF,Fri Oct 05 18:13:56 +0000 2018,-0.4939,0.135,0.676,0.189,14
FoxNews,"Kavanaugh allegations thrust Ford's friend, Monica McLean, into spotlight: What to know https://t.co/QegqoVJ0k1",Fri Oct 05 17:58:03 +0000 2018,0.4939,0.211,0.789,0.0,15
FoxNews,Steven Mulroy: “I think it’s also important for the FBI to disclose to any judge…that the source of the information… https://t.co/aOMcUjhW8y,Fri Oct 05 17:49:31 +0000 2018,0.2023,0.083,0.917,0.0,16
FoxNews,"Lawyer for Clinton campaign and DNC gave FBI documents for Russia probe, sources say https://t.co/zR8dZsXMKq https://t.co/3HsF65simg",Fri Oct 05 17:44:40 +0000 2018,0.0,0.0,1.0,0.0,17
FoxNews,".@SenJohnThune: “We will know one way or the other for sure, for certain, by tomorrow afternoon whether or not Judg… https://t.co/95QkdqRTbT",Fri Oct 05 17:38:08 +0000 2018,0.5267,0.188,0.812,0.0,18
FoxNews,OPINION: Judge Kavanaugh should become Supreme Court Justice Kavanaugh – Here’s why https://t.co/Yh9gSIl9lN,Fri Oct 05 17:37:40 +0000 2018,0.7906,0.412,0.588,0.0,19
FoxNews,".@SenJohnThune: “We’re going to get this vote tomorrow, and I think we’re going to get this judge confirmed.”… https://t.co/NkNUoYLe74",Fri Oct 05 17:34:07 +0000 2018,0.0,0.0,1.0,0.0,20
FoxNews,.@PressSec: “The president has had an incredibly successful first two years in office.” #OutnumberedOT https://t.co/rfIPuOvrox,Fri Oct 05 17:22:15 +0000 2018,0.624,0.226,0.774,0.0,21
FoxNews,.@PressSec: “I’m surprised more Democrats aren’t supporting Judge Kavanaugh.” #OutnumberedOT https://t.co/z536n5KqVl,Fri Oct 05 17:18:46 +0000 2018,0.6204,0.36,0.64,0.0,22
FoxNews,.@PressSec: “We’ve been in constant contact with a number of Senators since this process began and we’re going to c… https://t.co/55SmIFJnOX,Fri Oct 05 17:14:04 +0000 2018,0.0772,0.064,0.936,0.0,23
FoxNews,.@PressSec: “We feel great about where we are right now. Obviously we would love to see all 100 Senators get behind… https://t.co/I55wzynVO1,Fri Oct 05 17:08:34 +0000 2018,0.8519,0.293,0.707,0.0,24
FoxNews,"All eyes on Murkowski, Collins, Flake and Manchin as Senate barrels toward final Kavanaugh vote https://t.co/RYjqte19Tw",Fri Oct 05 16:59:28 +0000 2018,0.0,0.0,1.0,0.0,25
FoxNews,".@KennedyNation: “I feel like our system is so broken, this two-party system, unfortunately we need more parties.”… https://t.co/VtUEyepfn8",Fri Oct 05 16:48:47 +0000 2018,-0.5982,0.105,0.628,0.268,26
FoxNews,"RT @FoxNewsInsider: TUNE IN, 1:00pm ET: @PressSec Sarah Sanders joins @HARRISFAULKNER on @OutnumberedOT to discuss the looming Kavanaugh co…",Fri Oct 05 16:47:03 +0000 2018,-0.128,0.0,0.923,0.077,27
FoxNews,Retired Justice John Paul Stevens calls Kavanaugh's temperament disqualifying: 'Senators should pay attention to th… https://t.co/Qdg28AxGlv,Fri Oct 05 16:22:01 +0000 2018,0.4588,0.181,0.745,0.074,28
FoxNews,Senate Advances Kavanaugh Nomination: Wallace Says Final Confirmation Remains on a 'Razor's Edge' https://t.co/Qdd3Afn249,Fri Oct 05 16:17:15 +0000 2018,0.0,0.0,1.0,0.0,29
FoxNews,"Tim O’Brien: “There’s a lot of talk about Judge Kavanaugh being a 5th vote to overrule Roe versus Wade, I see that… https://t.co/IQMqZO45ef",Fri Oct 05 15:51:38 +0000 2018,0.0,0.0,1.0,0.0,30
FoxNews,.@HawleyMO: “To see Senator McCaskill vote no this morning to advance the nomination is extremely disappointing.” https://t.co/2Lze2FBrdN,Fri Oct 05 15:39:04 +0000 2018,-0.296,0.0,0.879,0.121,31
FoxNews,"RT @FoxBusiness: Kudlow: ""China does not play by the rules, they haven't for about 20 years."" https://t.co/LUcvgK4LdV",Fri Oct 05 15:31:15 +0000 2018,-0.2584,0.0,0.887,0.113,32
